Symbol,Date,Open,High,Low,Close,Volume
ARKK,2021-03-24,122.5,122.68,114.55,114.78,18523900
ARKK,2021-03-25,111.36,114.88,110.39,114.42,21016000
ARKK,2021-03-26,114.43,115.94,109.55,113.97,17712300
ARKK,2021-03-29,113.6,113.65,109.73,111.17,14228200
ARKK,2021-03-30,110.0,114.8,108.81,114.42,14589400
ARKK,2021-03-31,115.94,120.51,115.86,119.95,17368500
ARKK,2021-04-01,122.96,124.625,120.57,120.85,12606100
ARKK,2021-04-02,122.96,124.625,120.57,120.85,0
ARKK,2021-04-05,124.36,124.36,120.67,121.64,9480800
ARKK,2021-04-06,121.67,125.025,121.48,123.83,8739800
ARKK,2021-04-07,123.31,123.85,120.61,120.82,6131200
ARKK,2021-04-08,122.8,124.41,122.63,124.14,6610900
ARKK,2021-04-09,123.01,123.42,121.94,123.26,5564100
ARKK,2021-04-12,122.69,122.9,120.23,122.47,5261300
ARKK,2021-04-13,123.28,127.71,123.28,127.56,12014900
ARKK,2021-04-14,128.3,130.28,124.51,124.87,9959200
ARKK,2021-04-15,126.84,127.42,125.32,126.62,7953900
ARKK,2021-04-16,126.51,126.62,123.405,124.38,6911000
ARKK,2021-04-19,122.57,123.7,118.94,120.44,11418300
ARKK,2021-04-20,120.13,121.885,117.23,119.0,9825700
ARKK,2021-04-21,117.78,121.82,116.54,121.82,6537500
ARKK,2021-04-22,122.54,124.42,120.37,121.41,7751500
ARKK,2021-04-23,121.924,123.925,121.53,123.7,4761400
ARKK,2021-04-26,124.63,127.82,123.52,127.73,6403900
ARKK,2021-04-27,127.62,128.14,125.2,126.24,4985300
ARKK,2021-04-28,125.3,126.46,123.88,125.38,5190200
ARKK,2021-04-29,126.15,126.3,120.58,121.76,9313500
ARKK,2021-04-30,120.09,122.61,119.85,120.77,6921900
ARKK,2021-05-03,121.21,121.41,116.71,116.91,10956200
ARKK,2021-05-04,115.48,115.5,111.16,113.29,14621000
ARKK,2021-05-05,114.66,114.839,110.71,111.55,9106800
ARKK,2021-05-06,110.62,110.62,105.68,108.34,17515400
ARKK,2021-05-07,111.02,113.13,109.13,109.72,14769400
ARKK,2021-05-10,108.38,108.39,103.9,103.98,17802500
ARKK,2021-05-11,99.86,107.13,98.89,106.12,30440500
ARKK,2021-05-12,103.34,105.84,101.53,102.16,17478900
ARKK,2021-05-13,103.29,104.68,97.22,99.48,29699500
ARKK,2021-05-14,101.85,104.64,100.57,104.31,20572500
ARKK,2021-05-17,102.75,104.88,100.94,103.31,16239700
ARKK,2021-05-18,103.31,107.19,102.28,104.79,17658600
ARKK,2021-05-19,100.04,103.24,100.03,102.97,18364800
ARKK,2021-05-20,104.5,107.11,104.05,106.59,11797600
ARKK,2021-05-21,107.65,108.14,105.71,105.84,11478700
ARKK,2021-05-24,106.83,109.49,105.9,108.73,9325300
ARKK,2021-05-25,109.5,110.77,108.321,109.38,8821300
ARKK,2021-05-26,109.97,111.75,109.76,111.43,8340000
ARKK,2021-05-27,111.29,112.305,109.27,112.28,7496500
ARKK,2021-05-28,112.458,115.14,111.85,112.1,9217700
ARKK,2021-05-31,112.458,115.14,111.85,112.1,0
ARKK,2021-06-01,112.85,113.74,110.051,111.25,7496100
ARKK,2021-06-02,111.33,112.23,110.264,111.3,7250400
ARKK,2021-06-03,109.81,110.68,107.39,107.43,10095800
ARKK,2021-06-04,108.8,110.295,108.44,109.51,6581600
ARKK,2021-06-07,109.27,113.05,108.93,112.69,7392200
ARKK,2021-06-08,113.75,114.77,110.72,113.13,6810700
ARKK,2021-06-09,113.75,114.72,112.65,112.85,7349200
ARKK,2021-06-10,112.45,115.13,112.138,114.97,7184400
ARKK,2021-06-11,115.47,116.16,114.82,116.12,6661200
ARKK,2021-06-14,116.59,118.908,116.41,118.33,8467000
ARKK,2021-06-15,117.85,118.05,114.64,115.09,8590500
ARKK,2021-06-16,114.9,115.77,111.88,114.53,12257800
ARKK,2021-06-17,113.8,119.16,113.62,118.5,12696600
ARKK,2021-06-18,117.77,119.85,117.38,118.9,8495700
ARKK,2021-06-21,118.47,120.18,116.52,119.51,5448600
ARKK,2021-06-22,119.04,121.05,118.85,121.02,6356700
ARKK,2021-06-23,121.5,123.88,121.22,123.53,7841300
ARKK,2021-06-24,124.91,127.22,124.52,125.28,9897600
ARKK,2021-06-25,125.94,126.33,124.03,125.49,7330200
ARKK,2021-06-28,128.7,130.83,128.534,130.23,10325600
ARKK,2021-06-29,130.07,131.499,129.01,130.88,7071300
ARKK,2021-06-30,130.55,132.5,129.06,130.78,9309800
ARKK,2021-07-01,130.75,131.55,127.28,129.16,7357100
ARKK,2021-07-02,129.88,131.43,127.89,128.15,5891700
ARKK,2021-07-05,129.88,131.43,127.89,128.15,0
ARKK,2021-07-06,128.1,128.976,126.41,127.24,7372600
ARKK,2021-07-07,128.01,128.28,123.12,124.26,9314200
ARKK,2021-07-08,120.38,124.34,119.39,123.31,9659900
ARKK,2021-07-09,123.61,125.9,122.03,125.62,6307400
ARKK,2021-07-12,126.24,127.4,124.01,124.74,4063600
ARKK,2021-07-13,124.49,124.95,122.2,122.27,6477400
ARKK,2021-07-14,123.31,123.31,118.07,118.17,10497000
ARKK,2021-07-15,118.05,119.41,114.459,116.4,12755600
ARKK,2021-07-16,117.81,117.94,115.45,116.53,7648200
ARKK,2021-07-19,113.92,117.58,113.27,117.28,11861800
ARKK,2021-07-20,117.51,121.175,116.45,120.76,6707700
ARKK,2021-07-21,120.875,122.91,119.98,122.66,5738200
ARKK,2021-07-22,122.5,123.42,121.25,121.71,4781500
ARKK,2021-07-23,122.0,122.56,120.38,122.43,4388500
ARKK,2021-07-26,122.5,123.11,120.95,121.6,5802400
ARKK,2021-07-27,121.0,121.52,115.583,118.62,10982300
ARKK,2021-07-28,118.56,121.78,117.96,121.35,5810700
ARKK,2021-07-29,121.16,123.23,120.67,121.6,3759700
ARKK,2021-07-30,120.0,122.41,119.62,120.0,5263200
ARKK,2021-08-02,120.54,122.44,119.09,121.12,5211800
ARKK,2021-08-03,121.31,121.49,118.52,120.22,6748900
ARKK,2021-08-04,120.08,123.39,119.99,123.28,5300900
ARKK,2021-08-05,122.52,126.25,121.74,125.57,5260000
ARKK,2021-08-06,125.27,125.73,122.29,123.01,6044700
ARKK,2021-08-09,123.63,125.48,122.98,124.7,4528100
ARKK,2021-08-10,124.87,125.57,121.42,121.44,5387100
ARKK,2021-08-11,122.56,122.88,119.36,121.3,6007900
ARKK,2021-08-12,120.9,122.29,120.59,121.85,3320300
ARKK,2021-08-13,121.96,122.1,119.91,120.1,3973500
ARKK,2021-08-16,119.25,119.3,115.23,116.98,7762900
ARKK,2021-08-17,115.38,116.81,114.23,115.89,8425700
ARKK,2021-08-18,116.06,117.99,114.94,115.84,6016200
ARKK,2021-08-19,114.26,116.14,113.54,113.85,5713700
ARKK,2021-08-20,114.35,116.16,114.15,115.8,4591100
ARKK,2021-08-23,116.99,119.61,116.86,119.48,6587100
ARKK,2021-08-24,120.3,121.12,119.83,121.06,5165900
ARKK,2021-08-25,120.94,121.5,120.19,121.03,3508700
ARKK,2021-08-26,120.72,122.36,118.87,119.16,4715800
ARKK,2021-08-27,119.82,122.39,119.351,122.03,3793500
ARKK,2021-08-30,122.24,123.26,121.49,122.79,2992400
ARKK,2021-08-31,121.65,122.41,120.72,122.03,3926200
ARKK,2021-09-01,122.5,124.73,122.3,123.72,4673700
ARKK,2021-09-02,124.51,125.35,124.05,124.83,3212200
ARKK,2021-09-03,124.52,125.61,123.85,125.07,3916000
ARKK,2021-09-06,124.52,125.61,123.85,125.07,0
ARKK,2021-09-07,125.21,126.32,124.18,124.71,4128800
ARKK,2021-09-08,124.06,124.06,120.37,121.17,6390800
ARKK,2021-09-09,121.18,123.47,120.92,121.71,3648700
ARKK,2021-09-10,122.65,122.97,120.44,120.46,3342900
ARKK,2021-09-13,120.72,120.81,116.14,118.17,6980000
ARKK,2021-09-14,118.74,119.55,116.47,116.86,5234000
ARKK,2021-09-15,116.96,117.97,115.6,117.82,4675000
ARKK,2021-09-16,117.47,118.95,116.4,118.57,4739800
ARKK,2021-09-17,118.83,121.5,117.86,121.5,7752100
ARKK,2021-09-20,116.97,118.619,114.44,116.14,9990100
ARKK,2021-09-21,117.26,118.14,116.22,117.14,5092300
ARKK,2021-09-22,117.18,118.98,116.87,118.11,3659500
ARKK,2021-09-23,119.31,119.52,118.13,119.34,4163000
ARKK,2021-09-24,118.09,118.4,116.27,117.13,5075800
ARKK,2021-09-27,116.51,117.27,114.6,117.03,8196800
ARKK,2021-09-28,115.29,115.58,111.81,112.14,12146100
ARKK,2021-09-29,112.92,113.34,109.6,109.72,8954900
ARKK,2021-09-30,110.35,111.71,110.0,110.53,8549600
ARKK,2021-10-01,111.02,111.45,109.14,111.17,5252200
ARKK,2021-10-04,110.72,110.82,106.35,107.19,7650500
ARKK,2021-10-05,107.57,110.23,107.57,109.04,5582400
ARKK,2021-10-06,108.0,110.33,107.73,109.94,4677200
ARKK,2021-10-07,111.2,113.38,110.94,112.6,5129800
